Crop,Year,CAR,Region I,Region II,Region III,Region IV-A,MIMAROPA,Region V,Region VI,Region VII,Region VIII,Region IX,Region X,Region XI,Region XII,Region XIII,ARMM
ChinesePechay,2015,16.1289,5,6.3333,0,5.1935,0,0,0,9.9741,1,6.9167,7.7957,3.87,5.5645,0,0
ChinesePechay,2016,16,0,5.8148,10,4.1,0,0,0,10.0891,1,7.2727,7.828,3.9286,5.5,0,0
ChinesePechay,2017,16.1549,0,5.8438,10,4.3214,0,0,0,10.0142,1,6.5455,7.8014,4.14,5.541,0,0
ChinesePechay,2018,16.0808,0,6.1471,1.8,4.3571,0,0,0,10.2108,6.6667,6.8182,8.088,4.402,5.8,0,0
NativePechay,2014,7.5946,5.0526,6.4417,8.6705,8.6941,2.9082,5.7122,6.9423,7.4643,5.027,7.5966,6.3632,5.7959,4.7405,6.0157,4
NativePechay,2015,7.4615,5.0584,6.5205,8.0383,8.9401,2.9953,5.9947,7.3206,7.3237,5.1503,7.668,6.3349,5.5547,4.8571,5.9535,4.3407
NativePechay,2016,7.2675,5.1373,6.681,8.5194,8.6523,3.1101,6.016,7.4248,7.012,5.0654,7.4393,6.215,5.516,4.9352,5.8671,4.2717
NativePechay,2017,7.1774,5.0664,7.2188,9.4311,8.5136,4.2274,6.3262,7.5478,7.6045,5.1429,7.2008,6.1682,5.549,5.1284,5.9345,4.2796
NativePechay,2018,7.0549,5.134,7.0359,9.1151,7.8722,4.1402,6.3064,7.7447,8.0989,5.2098,7.4226,6.1739,5.3759,5.2072,5.9545,4.3229
Camote,2014,5.1672,5.0558,5.7707,4.7219,8.1395,6.2342,4.8734,6.7886,5.6937,5.2515,9.0289,12.7408,5.177,7.1312,6.7543,3.6461
Camote,2015,5.2358,4.8495,5.7793,8.0471,8.071,6.4552,5.1422,6.8608,5.5835,5.7987,9.6548,12.7139,5.1169,6.6912,6.331,3.337
Camote,2016,5.1532,5.0976,6.2662,8.0838,7.7966,6.3674,5.1287,6.9659,5.5182,5.6178,10.3551,12.6778,5.0926,6.116,6.8303,3.2875
Camote,2017,5.1215,5.54,7.1886,8.5145,7.4875,6.6258,5.0203,7.1047,5.5484,5.6727,10.3645,12.7253,5.2203,6.1268,6.7755,3.3333
Camote,2018,5.253,5.6015,7.2789,8.6313,7.4413,6.6726,4.9204,6.9377,5.4497,5.3966,10.9018,12.9281,5.1656,6.0983,6.5754,3.3684
Gabi,2014,11.1655,6.7307,9.2493,7.4209,7.0689,5.8096,7.6536,7.6773,5.9828,4.9541,8.0137,10.2871,8.2798,16.7961,7.9593,7.7368
Gabi,2015,11.0909,6.6645,9.3826,7.4975,7.426,5.8563,8.1702,7.6292,6.0078,4.9944,7.4163,10.1617,8.1904,15.6549,8.9348,7.9922
Gabi,2016,10.9839,6.5033,9.266,7.6467,7.526,5.4785,7.8866,7.4959,5.2398,4.9129,7.5855,10.1148,7.97,15.3527,8.5782,7.9055
Gabi,2017,11.0938,6.5144,9.8729,8.1662,7.8669,6.357,7.5807,7.5,5.5571,4.9372,7.5181,10.0929,8.0115,15.5277,8.8598,7.9843
Gabi,2018,11.1833,6.5366,9.8896,8.3186,7.7432,6.33,7.8328,7.5372,5.236,4.9693,7.6205,10.2949,8.1717,15.5972,8.0149,8.1181
Tomato,2014,11.191,18.977,11.3436,6.8443,15.5261,5.465,6.1758,12.122,9.2297,6.2083,13.2742,18.2286,6.192,7.8219,4.96,3.479
Tomato,2015,11.4357,18.9402,12.97,7.4798,17.1491,5.6715,6.6636,12.1369,9.3032,6.18,14.4156,18.189,6.3922,7.9356,4.5472,5.5067
Tomato,2016,11.0863,18.1475,12.5298,7.7571,15.6608,5.8074,7.0745,12.4218,8.6483,6.1089,14.7463,18.3022,6.0819,8.0348,5.5513,5.4933
Tomato,2017,10.9164,18.9169,13.2866,8.4959,14.1798,6.7459,6.76,12.6828,8.4842,5.8673,14.6119,18.264,6.1914,7.9645,5.3871,5.5467
Tomato,2018,10.907,19.713,13.3366,8.3409,13.7703,6.6546,6.7345,13.458,8.6812,5.9895,14.7206,18.5365,6.2112,8.05,5.0306,5.425
Ubi,2014,5,8.2667,6.6939,6.1489,5.6891,5.2294,6.0795,7.0215,5.9925,3.804,5.1803,5.4728,6.2241,4.6522,2.5625,5.625
Ubi,2015,5.0606,8.4,6.4574,6.3191,5.4298,5.463,6,6.5455,5.6066,3.8392,4.8033,5.9822,6.4815,4.5781,2.75,5.625
Ubi,2016,4.7576,8.6,6.1377,5.67,6.4951,5.5046,5.7073,6.7889,5.6641,3.7846,4.85,6.1084,6.9556,4.3333,3.5556,5.6964
Ubi,2017,4.8857,9.0222,6.255,5.5098,6.726,5.4737,5.3049,7.369,5.8609,3.8167,4.6935,6.3273,6.8478,4.3276,3.2,5.8036
Ubi,2018,5,9.4222,6.273,5.2772,7.0905,5.4957,5.4286,7.3095,5.9519,3.5682,4.7903,6.3095,7.0682,4.3333,3.3,5.875
